load1 (Mcal/h),load_1,load2 (Mcal/h),load_2_0,load_2_5,load_2_10,load_2_15,load_2_20,load_2_25,load_2_30,load_2_35
0,0,0,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
5,0.0014525,5,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
10,0.002905,10,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
15,0.0043575,15,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
20,0.00581,20,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
25,0.0072625,25,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
30,0.008715,30,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
35,0.0101675,35,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
40,0.01162,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
45,0.0130725,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
50,0.014525,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
55,0.0159775,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
60,0.01743,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
65,0.0188825,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
70,0.020335,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
75,0.0217875,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
80,0.02324,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
85,0.0246925,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
90,0.026145,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
95,0.0275975,,0,0.0014525,0.002905,0.0043575,0.00581,0.0072625,0.008715,0.0101675
